Username,ID,Post Title,Post Date,Post Link
AnabolicHorse,671127,Why does the code not work?,2020-06-08 15:30:00,https://math.stackexchange.com/questions/3711202/why-does-the-code-not-work
AnabolicHorse,671127,solving congruences with sage,2020-06-06 18:29:00,https://math.stackexchange.com/questions/3708638/solving-congruences-with-sage
AnabolicHorse,671127,Is there a program that gives an ideal in the ring of integers that is not principal and coprime to $23N$ for $N \in \mathbb{N}$?,2020-06-06 16:29:00,https://math.stackexchange.com/questions/3708480/is-there-a-program-that-gives-an-ideal-in-the-ring-of-integers-that-is-not-princ
AnabolicHorse,671127,Is there a dimension formula for modular forms of weight $1$ for any congruence subgroup?,2020-05-11 19:56:00,https://math.stackexchange.com/questions/3670151/is-there-a-dimension-formula-for-modular-forms-of-weight-1-for-any-congruence
AnabolicHorse,671127,Why are there infinitely many primes $q$ such that $\Bigl(\frac{D_i}{q}\Bigr)=-1$?,2020-05-03 12:50:00,https://math.stackexchange.com/questions/3656583/why-are-there-infinitely-many-primes-q-such-that-bigl-fracd-iq-bigr-1
AnabolicHorse,671127,"Why is $\mu \overline \mu=p$ not possible if $p$ is not split in $K$ and does not divide $Q,D$?",2020-05-03 09:00:00,https://math.stackexchange.com/questions/3656316/why-is-mu-overline-mu-p-not-possible-if-p-is-not-split-in-k-and-does-no
AnabolicHorse,671127,Is each prime ideal in a quadratic field of norm $p$ or $p^2$?,2020-05-01 20:45:00,https://math.stackexchange.com/questions/3654189/is-each-prime-ideal-in-a-quadratic-field-of-norm-p-or-p2
AnabolicHorse,671127,Why are the coefficients zero if $n$ contains a prime with prime power $1$ that is not split in $K$?,2020-05-01 17:20:00,https://math.stackexchange.com/questions/3653863/why-are-the-coefficients-zero-if-n-contains-a-prime-with-prime-power-1-that
AnabolicHorse,671127,There are infinitely many primes $p \equiv1(q)$,2020-03-19 14:24:00,https://math.stackexchange.com/questions/3586822/there-are-infinitely-many-primes-p-equiv1q
AnabolicHorse,671127,Why is $\sum_{n \leq x }1/n=\log(x)+\mathcal{O(1)}$?,2020-03-14 11:47:00,https://math.stackexchange.com/questions/3580622/why-is-sum-n-leq-x-1-n-logx-mathcalo1
AnabolicHorse,671127,Definition of Fourier transform,2020-03-09 11:36:00,https://math.stackexchange.com/questions/3574820/definition-of-fourier-transform
AnabolicHorse,671127,how to find the dual basis,2020-02-28 16:36:00,https://math.stackexchange.com/questions/3563397/how-to-find-the-dual-basis
AnabolicHorse,671127,splitting the sum into two sums,2020-02-23 23:07:00,https://math.stackexchange.com/questions/3557745/splitting-the-sum-into-two-sums
AnabolicHorse,671127,ideals in the ring of integers,2020-02-22 19:20:00,https://math.stackexchange.com/questions/3556419/ideals-in-the-ring-of-integers
AnabolicHorse,671127,Why does the equation hold?,2020-02-18 19:42:00,https://math.stackexchange.com/questions/3551669/why-does-the-equation-hold
