Username,ID,Post Title,Post Date,Post Link
AD - Stop Putin -,1154,Applications of Young&#39;s convolution inequality,2011-11-17 18:01:00,https://math.stackexchange.com/questions/83130/applications-of-youngs-convolution-inequality
AD - Stop Putin -,1154,What is a special function?,2010-12-05 07:02:00,https://math.stackexchange.com/questions/13067/what-is-a-special-function
AD - Stop Putin -,1154,Accessible proof of Carleson&#39;s $L^2$ theorem,2010-11-27 21:40:00,https://math.stackexchange.com/questions/12126/accessible-proof-of-carlesons-l2-theorem
AD - Stop Putin -,1154,Funny identities,2010-11-03 21:39:00,https://math.stackexchange.com/questions/8814/funny-identities
AD - Stop Putin -,1154,Different ways to prove $\sum_{k=1}^\infty \frac{1}{k^2}=\frac{\pi^2}{6}$ (the Basel problem),2010-10-30 10:04:00,https://math.stackexchange.com/questions/8337/different-ways-to-prove-sum-k-1-infty-frac1k2-frac-pi26-the-b
AD - Stop Putin -,1154,Legendre functions in number theory,2010-09-20 09:39:00,https://math.stackexchange.com/questions/5052/legendre-functions-in-number-theory
AD - Stop Putin -,1154,Favourite open problem?,2010-08-31 21:14:00,https://math.stackexchange.com/questions/3742/favourite-open-problem
AD - Stop Putin -,1154,"When is the weighted space $\ell^p(\mathbb{Z},\omega)$ a Banach algebra ($p&gt;1$)?",2010-08-21 19:45:00,https://math.stackexchange.com/questions/2952/when-is-the-weighted-space-ellp-mathbbz-omega-a-banach-algebra-p1
AD - Stop Putin -,1154,Converse of Wiener&#39;s lemma,2010-08-16 20:48:00,https://math.stackexchange.com/questions/2621/converse-of-wieners-lemma
Bert Zangle,214243,"Not sure if minimization is needed for definition of function &#39;half&#39;, or if primitive recursive definition possible",2016-09-15 12:34:00,https://math.stackexchange.com/questions/1927888/not-sure-if-minimization-is-needed-for-definition-of-function-half-or-if-prim
Bert Zangle,214243,Naive Bayes: Conditional Independence vs. Marginal Independence Assumption,2015-10-25 18:27:00,https://math.stackexchange.com/questions/1497136/naive-bayes-conditional-independence-vs-marginal-independence-assumption
Bert Zangle,214243,Chance of m-th of n light bulbs being on after switching on the light.,2015-10-11 17:25:00,https://math.stackexchange.com/questions/1475055/chance-of-m-th-of-n-light-bulbs-being-on-after-switching-on-the-light
Bert Zangle,214243,Are all models of Peano arithmetic elementary equivalent?,2015-06-21 20:03:00,https://math.stackexchange.com/questions/1334152/are-all-models-of-peano-arithmetic-elementary-equivalent
