Username,ID,Post Title,Post Date,Post Link
Dan,398708,"For what values of $n$ can coins of radius $\frac12,\frac13,\frac14,...,\frac1n$ be held rigidly in a circular tray of radius $1$?",2024-06-30 23:59:00,https://math.stackexchange.com/questions/4940077/for-what-values-of-n-can-coins-of-radius-frac12-frac13-frac14-frac1n
Dan,398708,Geometry question about a six-pack of beer,2024-06-30 04:54:00,https://math.stackexchange.com/questions/4939737/geometry-question-about-a-six-pack-of-beer
Dan,398708,Sangaku problem involving eight circles,2024-06-30 03:16:00,https://math.stackexchange.com/questions/4939718/sangaku-problem-involving-eight-circles
Dan,398708,Is there a geometrical diagram in which it is evident that two circles&#39; radii have ratio $1:11$?,2024-06-20 23:26:00,https://math.stackexchange.com/questions/4935519/is-there-a-geometrical-diagram-in-which-it-is-evident-that-two-circles-radii-ha
Dan,398708,Sangaku problem about three chords in a circle,2024-06-16 13:47:00,https://math.stackexchange.com/questions/4933313/sangaku-problem-about-three-chords-in-a-circle
Dan,398708,Sangaku problem: Show that five circles have equal radii.,2024-06-15 01:22:00,https://math.stackexchange.com/questions/4932679/sangaku-problem-show-that-five-circles-have-equal-radii
Dan,398708,"A circle is inscribed in a triangle, with three other circles in the corner regions. The radii are integers. Possible values of the largest radius?",2024-06-08 16:12:00,https://math.stackexchange.com/questions/4929488/a-circle-is-inscribed-in-a-triangle-with-three-other-circles-in-the-corner-regi
Dan,398708,The &quot;seashell constant&quot;: closed form for $\frac12\exp\int_0^1-\log(\sin(\frac{\pi}{6}+\frac{2\pi}{3}x))\mathrm dx$?,2024-05-20 22:23:00,https://math.stackexchange.com/questions/4919936/the-seashell-constant-closed-form-for-frac12-exp-int-01-log-sin-frac-p
Dan,398708,A remarkable fact about the unit circle; looking for a shape with an even more remarkable fact.,2024-05-18 07:19:00,https://math.stackexchange.com/questions/4918506/a-remarkable-fact-about-the-unit-circle-looking-for-a-shape-with-an-even-more-r
Dan,398708,Evaluate $\lim_{n\to\infty}\prod_{k=1}^n \frac{2n}{e}(\arcsin(\frac{k}{n})-\arcsin(\frac{k-1}{n}))$,2024-05-15 14:36:00,https://math.stackexchange.com/questions/4916999/evaluate-lim-n-to-infty-prod-k-1n-frac2ne-arcsin-frackn-arcs
Dan,398708,Show that $\int_0^{1/2}\log(n(\arcsin x-\arcsin(x-1/n)))\mathrm dx$ converges to $\frac12-\frac14\log(27/4)$ as $n\to\infty$.,2024-05-15 03:33:00,https://math.stackexchange.com/questions/4916748/show-that-int-01-2-logn-arcsin-x-arcsinx-1-n-mathrm-dx-converges-to
