Username,ID,answer_id,Post Date,question_id
Angelo Lucia,14794,3685875,2020-05-21 23:10:00,1381887
Angelo Lucia,14794,3509156,2020-01-14 19:32:00,3508985
Angelo Lucia,14794,3466186,2019-12-06 22:51:00,2444037
Angelo Lucia,14794,3000113,2018-11-15 18:49:00,3000013
Angelo Lucia,14794,2999033,2018-11-15 00:54:00,2999007
Angelo Lucia,14794,2997712,2018-11-14 03:04:00,2997663
Angelo Lucia,14794,2869851,2018-08-02 09:02:00,2869839
Angelo Lucia,14794,2737129,2018-04-14 18:26:00,670784
Angelo Lucia,14794,2737114,2018-04-14 18:13:00,390513
Angelo Lucia,14794,2736865,2018-04-14 15:15:00,1336382
Angelo Lucia,14794,2735158,2018-04-13 08:50:00,2009611
Angelo Lucia,14794,1072290,2014-12-17 18:15:00,1072254
Angelo Lucia,14794,1071897,2014-12-17 12:00:00,1071834
Angelo Lucia,14794,1065050,2014-12-12 15:27:00,1064775
Angelo Lucia,14794,1064878,2014-12-12 12:47:00,1064837
Angelo Lucia,14794,354995,2013-04-08 16:24:00,354957
Angelo Lucia,14794,59188,2011-08-23 10:43:00,40472
Angelo Lucia,14794,58884,2011-08-21 22:13:00,58857
AnonyMath,525782,3006009,2018-11-20 06:09:00,2995371
AnonyMath,525782,2991178,2018-11-09 09:54:00,2989744
Caleb Williams,734946,4909290,2024-05-02 02:49:00,4908305
Caleb Williams,734946,4639328,2023-02-14 22:57:00,4637991
Conor_Meise,967793,4799491,2023-11-03 03:37:00,4799477
Conor_Meise,967793,4794036,2023-10-25 19:08:00,4788412
Conor_Meise,967793,4791483,2023-10-22 03:57:00,4791358
Conor_Meise,967793,4790265,2023-10-20 01:00:00,4790251
Conor_Meise,967793,4787054,2023-10-15 02:22:00,4787014
Conor_Meise,967793,4787045,2023-10-15 02:05:00,4787040
Conor_Meise,967793,4786925,2023-10-14 20:04:00,4786909
Conor_Meise,967793,4782847,2023-10-08 03:10:00,4782818
Conor_Meise,967793,4782843,2023-10-08 02:59:00,4782833
Conor_Meise,967793,4249740,2021-09-14 00:23:00,4249733
Dubious,32119,1595115,2015-12-31 14:09:00,1594242
Dubious,32119,1117513,2015-01-24 10:59:00,1117487
Dubious,32119,883012,2014-07-30 20:38:00,882995
Dubious,32119,877364,2014-07-24 22:39:00,877350
Dubious,32119,748819,2014-04-10 21:40:00,748325
Dubious,32119,732393,2014-03-30 11:53:00,732388
Dubious,32119,720378,2014-03-20 21:17:00,720371
Dubious,32119,571617,2013-11-18 08:39:00,571611
Dubious,32119,526199,2013-10-14 19:14:00,526188
Dubious,32119,526145,2013-10-14 18:33:00,526107
Dubious,32119,301160,2013-02-12 12:35:00,301156
Dubious,32119,242183,2012-11-21 18:46:00,242172
Dubious,32119,222074,2012-10-27 13:59:00,222069
Dubious,32119,218003,2012-10-21 13:29:00,125140
Fred Jefferson,817094,4548482,2022-10-09 00:18:00,4548228
Fred Jefferson,817094,4513810,2022-08-17 12:12:00,4513505
Fred Jefferson,817094,4513806,2022-08-17 11:58:00,4512986
Fred Jefferson,817094,4513425,2022-08-16 20:05:00,4513419
Fred Jefferson,817094,4485463,2022-07-03 16:44:00,4485439
Fred Jefferson,817094,4391750,2022-02-26 17:46:00,4387087
Hussien Mohamed,451403,2911514,2018-09-10 04:36:00,2911271
Hussien Mohamed,451403,2598465,2018-01-09 16:38:00,2598302
Hussien Mohamed,451403,2470845,2017-10-13 16:40:00,2470822
Hussien Mohamed,451403,2394575,2017-08-15 16:21:00,2394483
Hussien Mohamed,451403,2392835,2017-08-14 02:39:00,2387185
Hussien Mohamed,451403,2390251,2017-08-11 13:42:00,2390227
Ormi,49301,790960,2014-05-11 22:39:00,790945
Ormi,49301,789693,2014-05-10 23:20:00,789684
Ormi,49301,244002,2012-11-24 23:58:00,243998
Ormi,49301,242211,2012-11-21 19:34:00,242203
Ormi,49301,242125,2012-11-21 17:24:00,242092
Ormi,49301,240727,2012-11-19 17:14:00,240627
Philipp,579544,4803895,2023-11-09 21:23:00,1797901
Philipp,579544,4803895,2023-11-09 21:23:00,1797901
Philipp,579544,4800056,2023-11-03 21:47:00,4799976
Philipp,579544,4800056,2023-11-03 21:47:00,4799976
Philipp,579544,4627237,2023-01-27 20:36:00,1817373
Philipp,579544,4627237,2023-01-27 20:36:00,1817373
Philipp,579544,4529576,2022-09-11 23:19:00,1308348
Philipp,579544,4529576,2022-09-11 23:19:00,1308348
Philipp,579544,4384937,2022-02-17 22:26:00,58484
Philipp,579544,4384937,2022-02-17 22:26:00,58484
Philipp,579544,4377181,2022-02-08 17:04:00,4050964
Philipp,579544,4377181,2022-02-08 17:04:00,4050964
Philipp,579544,4325875,2021-12-06 21:57:00,3420420
Philipp,579544,4325875,2021-12-06 21:57:00,3420420
Philipp,579544,4324948,2021-12-05 21:50:00,4324580
Philipp,579544,4324948,2021-12-05 21:50:00,4324580
Philipp,579544,4304590,2021-11-12 21:47:00,4304407
Philipp,579544,4304590,2021-11-12 21:47:00,4304407
Philipp,579544,4301380,2021-11-09 15:47:00,288853
Philipp,579544,4301380,2021-11-09 15:47:00,288853
Philipp,579544,4301248,2021-11-09 13:18:00,4297403
Philipp,579544,4301248,2021-11-09 13:18:00,4297403
Philipp,579544,4074906,2021-03-24 17:32:00,4065352
Philipp,579544,4074906,2021-03-24 17:32:00,4065352
Philipp,579544,4038401,2021-02-24 17:34:00,763514
Philipp,579544,4038401,2021-02-24 17:34:00,763514
Philipp,579544,3942133,2020-12-09 22:29:00,1349945
Philipp,579544,3942133,2020-12-09 22:29:00,1349945
Philipp,579544,3912772,2020-11-18 15:23:00,3911542
Philipp,579544,3912772,2020-11-18 15:23:00,3911542
Philipp,579544,3911758,2020-11-17 20:44:00,1576816
Philipp,579544,3911758,2020-11-17 20:44:00,1576816
Philipp,579544,3903067,2020-11-11 13:11:00,3881695
Philipp,579544,3903067,2020-11-11 13:11:00,3881695
Philipp,579544,3877942,2020-10-23 11:25:00,3877875
Philipp,579544,3877942,2020-10-23 11:25:00,3877875
Philipp,579544,3805384,2020-08-27 18:18:00,5693
Philipp,579544,3805384,2020-08-27 18:18:00,5693
Philipp,579544,3804013,2020-08-26 14:10:00,2438482
Philipp,579544,3804013,2020-08-26 14:10:00,2438482
Philipp,579544,3799205,2020-08-21 23:22:00,3799033
Philipp,579544,3799205,2020-08-21 23:22:00,3799033
Philipp,579544,3794441,2020-08-17 20:49:00,3794372
Philipp,579544,3794441,2020-08-17 20:49:00,3794372
Philipp,579544,3791017,2020-08-14 18:41:00,3790900
Philipp,579544,3791017,2020-08-14 18:41:00,3790900
Philipp,579544,3790075,2020-08-13 21:28:00,3789976
Philipp,579544,3790075,2020-08-13 21:28:00,3789976
Philipp,579544,3781109,2020-08-05 17:06:00,734058
Philipp,579544,3781109,2020-08-05 17:06:00,734058
Philipp,579544,3775162,2020-07-30 23:38:00,3774999
Philipp,579544,3775162,2020-07-30 23:38:00,3774999
Philipp,579544,3772308,2020-07-28 15:36:00,3772168
