Username,ID,Post Title,Post Date,Post Link
Aayush Agrawal,38940,Finding probability of individual trials from n successes,2016-08-27 13:22:00,https://math.stackexchange.com/questions/1905269/finding-probability-of-individual-trials-from-n-successes
Aayush Agrawal,38940,How can you know all factors &lt; 10 of a number if you know the number modulo 2520?,2016-07-10 06:32:00,https://math.stackexchange.com/questions/1854737/how-can-you-know-all-factors-10-of-a-number-if-you-know-the-number-modulo-2520
Aayush Agrawal,38940,Why is the tangent to the ellipse $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$ given by $y = mx + \sqrt{a^2m^2 + b^2}$,2016-03-29 15:33:00,https://math.stackexchange.com/questions/1718906/why-is-the-tangent-to-the-ellipse-fracx2a2-fracy2b2-1-given
Aayush Agrawal,38940,Where did i go wrong in trying to find the intervals where y is increasing and decreasing?,2016-03-15 14:58:00,https://math.stackexchange.com/questions/1698734/where-did-i-go-wrong-in-trying-to-find-the-intervals-where-y-is-increasing-and-d
Aayush Agrawal,38940,How do you check which intervals a cubic function will increase and in which intervals it will decrease?,2016-03-15 14:18:00,https://math.stackexchange.com/questions/1698674/how-do-you-check-which-intervals-a-cubic-function-will-increase-and-in-which-int
Aayush Agrawal,38940,Prove that if $x = \sqrt{a^{\sin^{-1} t}}$ and $y = \sqrt{a^{\cos^{-1}t}}$ then $\frac{dy}{dx}$ = $-\frac{y}x$,2016-03-15 05:24:00,https://math.stackexchange.com/questions/1698201/prove-that-if-x-sqrta-sin-1-t-and-y-sqrta-cos-1t-then
Aayush Agrawal,38940,"For the differentiation of $x^{\frac23} + y^{\frac23} = a^{\frac23}$, why is the substitution $x = a \cos^3\theta$ legal?",2016-03-14 15:26:00,https://math.stackexchange.com/questions/1697196/for-the-differentiation-of-x-frac23-y-frac23-a-frac23-why-is-the
Aayush Agrawal,38940,Why is the graph of a quadratic function a parabola?,2016-03-05 14:36:00,https://math.stackexchange.com/questions/1684216/why-is-the-graph-of-a-quadratic-function-a-parabola
Aayush Agrawal,38940,Why is the following limit operation valid?,2016-03-03 15:13:00,https://math.stackexchange.com/questions/1681537/why-is-the-following-limit-operation-valid
Aayush Agrawal,38940,Is it legal to substitute the limit variable in a question like this?,2016-02-25 12:36:00,https://math.stackexchange.com/questions/1671705/is-it-legal-to-substitute-the-limit-variable-in-a-question-like-this
Aayush Agrawal,38940,How could a rocket/missle know it&#39;s exact speed [With TL;DR]?,2016-02-25 11:39:00,https://math.stackexchange.com/questions/1671648/how-could-a-rocket-missle-know-its-exact-speed-with-tldr
Aayush Agrawal,38940,Why does the following require any integral value of m and n,2016-02-25 06:25:00,https://math.stackexchange.com/questions/1671361/why-does-the-following-require-any-integral-value-of-m-and-n
Aayush Agrawal,38940,What is the meaning of the locus of points P satisfying some conditions?,2016-02-20 16:52:00,https://math.stackexchange.com/questions/1664385/what-is-the-meaning-of-the-locus-of-points-p-satisfying-some-conditions
Aayush Agrawal,38940,Why is the focus of the parabola not within the parabola in the following result?,2016-02-19 16:55:00,https://math.stackexchange.com/questions/1663138/why-is-the-focus-of-the-parabola-not-within-the-parabola-in-the-following-result
Aayush Agrawal,38940,Why is $\sqrt{x^2}$ always $x$?,2016-02-19 10:49:00,https://math.stackexchange.com/questions/1662755/why-is-sqrtx2-always-x
