Username,ID,Post Title,Post Date,Post Link
ATrashInTheWorld,726614,How to mix 2 Fourier tables.,2020-08-03 16:34:00,https://math.stackexchange.com/questions/3778812/how-to-mix-2-fourier-tables
ATrashInTheWorld,726614,Ways for the differential equation $y&#39; + {{y\ln(y)}\over x}= xy$,2020-05-24 13:16:00,https://math.stackexchange.com/questions/3689513/ways-for-the-differential-equation-y-y-lny-over-x-xy
ATrashInTheWorld,726614,how to solve a diferential equation of order 1: $(ye^x +y)dx+ye^{(x+y)}dy=0$,2020-05-15 19:09:00,https://math.stackexchange.com/questions/3676719/how-to-solve-a-diferential-equation-of-order-1-yex-ydxyexydy-0
ATrashInTheWorld,726614,Radius of convergence: $\sum\limits_{n=0}^{\infty} \frac{n!x^n}{100^n}$,2019-12-09 23:25:00,https://math.stackexchange.com/questions/3470307/radius-of-convergence-sum-limits-n-0-infty-fracnxn100n
ATrashInTheWorld,726614,Evaluating integral $\int\frac{x+1}{\sqrt{x^2+2x+3}}dx$,2019-11-18 18:56:00,https://math.stackexchange.com/questions/3441128/evaluating-integral-int-fracx1-sqrtx22x3dx
AW23,754974,Hard AM-GM Inequality,2022-02-24 00:30:00,https://math.stackexchange.com/questions/4389751/hard-am-gm-inequality
AW23,754974,2021 AMC 10 A Problem #22,2021-02-18 15:12:00,https://math.stackexchange.com/questions/4030564/2021-amc-10-a-problem-22
AW23,754974,star and bars with restrictions,2020-06-03 12:37:00,https://math.stackexchange.com/questions/3703840/star-and-bars-with-restrictions
AW23,754974,distinguishability combinatorics,2020-05-27 14:05:00,https://math.stackexchange.com/questions/3693957/distinguishability-combinatorics
AW23,754974,A 3-digit integer is chosen randomly. Find the probability that it&#39;s possible to add a digit to its right end s.t. the result is a multiple of 45?,2020-05-26 20:22:00,https://math.stackexchange.com/questions/3692997/a-3-digit-integer-is-chosen-randomly-find-the-probability-that-its-possible-to
Aditya ,690228,"A random variable $Z = f(X, Y)\mod (n+1)$ gives a uniform distribution random varialbes $X$ and $Y$ are uniformly distributed.",2024-02-04 10:38:00,https://math.stackexchange.com/questions/4856581/a-random-variable-z-fx-y-mod-n1-gives-a-uniform-distribution-random-va
